date,title,category,image,summary
2026-05-15,"Minseong Kim, The Korean Society of Medical & Biological Engineering, Oral Presentation Grand Prize, 2026",Award,images/blog/award/minseong-kim-kosombe-2026-grand-prize.jpg,Minseong Kim received the grand prize in an oral presentation session at the 2026 KOSOMBE Spring Conference.
2025-11-19,"Sehyun Park, Inaugural Dallas-Daegu Research Symposium, Student Poster Presentation Award, 2025",Award,images/blog/award/sehyun-park-dallas-daegu-research-symposium-2025.jpg,Sehyun Park received an award at the Inaugural Dallas-Daegu Research Symposium: Glocal Lab Student Poster Presentation.
2025-11-19,"Sehyun Park, The Korean Society of Medical & Biological Engineering, Excellent Presentation Award, 2025",Award,images/blog/award/sehyun-park-kosombe-2025-fall.jpg,Sehyun Park received an excellent presentation award at the 2025 KOSOMBE Fall Conference.
2025-06-19,"Sehyun Park, IC-UEBA 2025, Best Student Paper Award, 2025",Award,images/blog/award/sehyun-award-ic-ueba-2025.png,Sehyun Park received the Best Student Paper Award at IC-UEBA 2025.
2022-08-28,"Min Ji Kang, DGIST, Outstanding Poster Award, 2022",Award,images/blog/award/minji-kang-outstanding-poster-2022.jpg,Min Ji Kang received an Outstanding Poster Award at DGIST in 2022.
2022-08-19,"Moon Hwan Lee, Gliopathic Pain Research Center, Excellent Poster Award, 2022",Award,images/blog/award/moon-hwan-lee-poster-award-2022.jpg,Moon Hwan Lee received an excellent poster award from the Gliopathic Pain Research Center in 2022.
2021-11-13,"Haeyun Lee, The Korean Society of Medical & Biological Engineering, Paper Award, 2021",Award,images/blog/award/haeyun-lee-paper-award-2021.png,Haeyun Lee received a Paper Award from the Korean Society of Medical & Biological Engineering in 2021.
2021-11-02,"Kyungsu Lee, DGIST, Outstanding Research Award, 2021",Award,images/blog/award/kyungsu-lee-dgist-outstanding-research-2021.jpg,Kyungsu Lee received an outstanding research award in the areas of information and communication engineering.
2021-09-11,"Hah Min Lew, DGIST ICE Student Conference, Outstanding Poster Award, 2021",Award,images/blog/award/hah-min-lew-dgist-ice-poster-2021.jpg,Hah Min Lew received an Outstanding Poster Award at the 2021 DGIST ICE Student Conference.
2021-09-11,"Moon Hwan Lee, DGIST ICE Student Conference, Outstanding Speech Award, 2021",Award,images/blog/award/moon-hwan-lee-dgist-ice-speech-2021.jpg,Moon Hwan Lee received an Outstanding Speech Award at the 2021 DGIST ICE Student Conference.
2021-05-16,"Hah Min Lew, The Korean Society of Medical & Biological Engineering, Excellent Presentation Award, 2021",Award,images/blog/award/hah-min-lew-kosombe-2021-spring.jpg,Hah Min Lew received an excellent presentation award at the 2021 KOSOMBE Spring Conference.
2021-05-11,"JaeSeong Kim, The Acoustical Society of Korea, Excellent Presentation Award, 2021",Award,images/blog/award/jaeseong-kim-acoustical-society-2021.jpg,JaeSeong Kim received an excellent presentation award from the Acoustical Society of Korea.
2020-12-18,"Kyungsu Lee, ICT Colloquium 2020, Excellent Student Creative Project Award, 2020",Award,images/blog/award/kyungsu-lee-ict-colloquium-2020.jpg,Kyungsu Lee received an award for excellent performance in the ICT Colloquium 2020 student creative project.
2020-11-11,"Sangyeon Youn, The Acoustical Society of Korea, Excellent Presentation Award, 2020",Award,images/blog/award/sangyeon-youn-acoustical-society-2020.jpg,Sangyeon Youn received an excellent presentation award from the Acoustical Society of Korea.
2019-11-15,"Sangyeon Youn, The Korean Society of Medical & Biological Engineering, Excellent Presentation Award, 2019",Award,images/blog/award/sangyeon-youn-kosombe-2019.jpg,Sangyeon Youn received an excellent presentation award from the Korean Society of Medical & Biological Engineering.
2018-12-24,"Jihun Kim, DGIST, Outstanding Graduate Student Award, 2018",Award,images/blog/award/jihun-kim-dgist-outstanding-graduate-2018.jpg,Jihun Kim received a DGIST award recognizing superior performance and ongoing commitment as a role model for other graduate students.
2017-12-28,"Jihun Kim, DGIST, Outstanding Graduate Student Award, 2017",Award,images/blog/award/jihun-kim-dgist-outstanding-graduate-2017.jpg,Jihun Kim received a DGIST award recognizing superior performance and ongoing commitment as a role model for other graduate students.
