id,year,number,title,citation,link,source
pub-001,2026,1,mSpecFusion-Net: Intelligent Multimodal Smartphone Imaging for Mobile Differential Diagnosis of Psoriasis and Dermatitis and Deep Learning,"Sewoong Kim*, Seong-Hyun Kim*, Thiago Coutinho Cavalcanti*, Jonghun Lee, Moon Hwan Lee, Donghun Lee**, Jae Youn Hwang**, ""mSpecFusion-Net: Intelligent Multimodal Smartphone Imaging for Mobile Differential Diagnosis of Psoriasis and Dermatitis and Deep Learning"", International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI 2026)",https://scholar.google.com/scholar?q=mSpecFusion-Net%3A%20Intelligent%20Multimodal%20Smartphone%20Imaging%20for%20Mobile%20Differential%20Diagnosis%20of%20Psoriasis%20and%20Dermatitis%20and%20Deep%20Learning,MBIS Lab Publications page
pub-002,2026,2,Dynamic Sub-domain Modeling for Robust Medical Image Segmentation,"Kyungsu Lee, Seo-Yeon Choi, Jong-Hye Woo*, Jae Youn Hwang*, “Dynamic Sub-domain Modeling for Robust Medical Image Segmentation”, International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI 2026)",https://scholar.google.com/scholar?q=Dynamic%20Sub-domain%20Modeling%20for%20Robust%20Medical%20Image%20Segmentation,MBIS Lab Publications page
pub-003,2026,3,High-Fidelity Transcranial Ultrasound Multi-focal Stimulation via Physics-Aware Hologram Technique,"Moon Hwan Lee, Mohd. Afzal Khan, Akm Ashiquzzaman, Eunbin Lee, Jonghun Lee, Euiheon Chung*, Hyuk-Sang Kwon*, Jae Youn Hwang*, “High-Fidelity Transcranial Ultrasound Multi-focal Stimulation via Physics-Aware Hologram Technique”, Brain Stimulation (2026)",https://scholar.google.com/scholar?q=High-Fidelity%20Transcranial%20Ultrasound%20Multi-focal%20Stimulation%20via%20Physics-Aware%20Hologram%20Technique,MBIS Lab Publications page
pub-004,2025,1,SoN: Selective Optimal Network for Smartphone-based Indoor Localization in Real-time,"Kyungsu Lee, Haeyun Lee, Jae Youn Hwang*, ""SoN: Selective Optimal Network for Smartphone-based Indoor Localization in Real-time"", Expert Systems With Applications, 2025",https://scholar.google.com/scholar?q=SoN%3A%20Selective%20Optimal%20Network%20for%20Smartphone-based%20Indoor%20Localization%20in%20Real-time,MBIS Lab Publications page
pub-005,2025,2,Connectome Mapping: Shape-Memory Network via Interpretation of Contextual Semantic Information,"Kyungsu Lee, Haeyun Lee, Jae Youn Hwang*. ""Connectome Mapping: Shape-Memory Network via Interpretation of Contextual Semantic Information"", The Thirteenth International Conference on Learning Representations (ICLR 2025)",https://scholar.google.com/scholar?q=Connectome%20Mapping%3A%20Shape-Memory%20Network%20via%20Interpretation%20of%20Contextual%20Semantic%20Information,MBIS Lab Publications page
pub-006,2025,3,Expert-Level Differentiation of Incomplete Kawasaki Disease and Pneumonia from Echocardiography via Multiple Large Receptive Attention Mechanisms,"Haeyun Lee, Kyungsu Lee, Moon Hwan Lee, Sewoong Kim, Yongsoon Eun, Lucy Youngmin Eun, Jae Youn Hwang*, ""Expert-Level Differentiation of Incomplete Kawasaki Disease and Pneumonia from Echocardiography via Multiple Large Receptive Attention Mechanisms"", Computers In Biology and Medicine, 2025",https://scholar.google.com/scholar?q=Expert-Level%20Differentiation%20of%20Incomplete%20Kawasaki%20Disease%20and%20Pneumonia%20from%20Echocardiography%20via%20Multiple%20Large%20Receptive%20Attention%20Mechanisms,MBIS Lab Publications page
pub-007,2024,1,Multi-Scale Self-Attention Network for Denoising Medical Images,"Kyungsu Lee, Haeyun Lee, Moon Hwan Lee, Jin Ho Chang, C-C Jay Kuo, Seung-June Oh, Jonghye Woo, Jae Youn Hwang*, “Multi-Scale Self-Attention Network for Denoising Medical Images”, APSIPA Transactions on Signal and Information Processing, 2024",https://scholar.google.com/scholar?q=Multi-Scale%20Self-Attention%20Network%20for%20Denoising%20Medical%20Images,MBIS Lab Publications page
pub-008,2024,2,Intelligent Bladder Volume Monitoring for Wearable Ultrasound Devices: Enhancing Accuracy through Deep Learning-based Coarse-to-Fine Shape Estimation,"Kyungsu Lee⁺, Moon Hwan Lee⁺, Dongho Kang, Sewoong Kim, Jin Ho Chang, Seung-June Oh, Jae Youn Hwang*, “Intelligent Bladder Volume Monitoring for Wearable Ultrasound Devices: Enhancing Accuracy through Deep Learning-based Coarse-to-Fine Shape Estimation”, IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control, 2024",https://scholar.google.com/scholar?q=Intelligent%20Bladder%20Volume%20Monitoring%20for%20Wearable%20Ultrasound%20Devices%3A%20Enhancing%20Accuracy%20through%20Deep%20Learning-based%20Coarse-to-Fine%20Shape%20Estimation,MBIS Lab Publications page
pub-009,2024,3,Fine-Grained Binary Object Segmentation in Remote Sensing Imagery via Path-Selective Test-Time Adaptation,"Kyungsu Lee, Haeyun Lee, Juhum Park, Jae Youn Hwang*, ""Fine-Grained Binary Object Segmentation in Remote Sensing Imagery via Path-Selective Test-Time Adaptation"", IEEE Transactions on Geoscience and Remote Sensing, 2024",https://scholar.google.com/scholar?q=Fine-Grained%20Binary%20Object%20Segmentation%20in%20Remote%20Sensing%20Imagery%20via%20Path-Selective%20Test-Time%20Adaptation,MBIS Lab Publications page
pub-010,2024,4,Machine Learning-Enhanced Skull-Universal Acoustic Hologram for Efficient Transcranial Ultrasound Neuromodulation Across Varied Rodent Skulls,"Moon Hwan Lee, Kyungsu Lee, Youngseung Yoo, HyungJoon Cho, Euiheon Chung, Jae Youn Hwang*, ""Machine Learning-Enhanced Skull-Universal Acoustic Hologram for Efficient Transcranial Ultrasound Neuromodulation Across Varied Rodent Skulls"", IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control, 2024",https://scholar.google.com/scholar?q=Machine%20Learning-Enhanced%20Skull-Universal%20Acoustic%20Hologram%20for%20Efficient%20Transcranial%20Ultrasound%20Neuromodulation%20Across%20Varied%20Rodent%20Skulls,MBIS Lab Publications page
