date,title,category,image,summary
2026-05-18,Teachers' Day 2026,Photo,images/blog/photo/teachers-day-2026.jpg,MBIS Lab celebrated Teachers' Day 2026.
2026-05-15,KOSOMBE 2026 - Spring (Jeju),Photo,images/blog/photo/kosombe-2026-spring-jeju.jpg,MBIS Lab members attended the 2026 KOSOMBE Spring Conference in Jeju.
2025-11-21,KOSOMBE 2025 - Autumn (Gimhae),Photo,images/blog/photo/kosombe-2025-autumn-gimhae.jpg,MBIS Lab members attended the 2025 KOSOMBE Autumn Conference in Gimhae.
2025-09-24,"IUS 2025 (Utrecht, Netherlands)",Photo,images/blog/photo/ius-2025-utrecht-netherlands.jpg,"MBIS Lab members attended IEEE IUS 2025 in Utrecht, Netherlands."
2025-08-26,2025 MBIS Summer Workshop,Photo,images/blog/photo/mbis-2025-summer-workshop.jpg,MBIS Lab held the 2025 summer workshop.
2025-08-22,MBIS 2025 Summer Internship,Photo,images/blog/photo/mbis-2025-summer-internship.jpg,MBIS Lab hosted the 2025 summer internship program.
2025-06-19,IC-UEBA 2025 (Daegu),Photo,images/blog/photo/ic-ueba-2025-daegu.jpg,MBIS Lab members participated in IC-UEBA 2025 in Daegu.
2025-05-14,Teachers' Day 2025,Photo,images/blog/photo/teachers-day-2025.jpg,MBIS Lab celebrated Teachers' Day 2025.
2025-05-12,KOSOMBE 2025 - Spring (Jeju),Photo,images/blog/photo/kosombe-2025-spring-jeju-1.jpg,MBIS Lab members attended the 2025 KOSOMBE Spring Conference in Jeju.
2025-05-12,KOSOMBE 2025 - Spring (Jeju),Photo,images/blog/photo/kosombe-2025-spring-jeju-2.jpg,MBIS Lab members attended the 2025 KOSOMBE Spring Conference in Jeju.
2024-11-11,KOSOMBE 2024 - Autumn (Seoul),Photo,images/blog/photo/kosombe-2024-autumn-seoul.jpg,MBIS Lab members attended the 2024 KOSOMBE Autumn Conference in Seoul.
2024-09-30,"UFFC-JS 2024 (Taipei, Taiwan)",Photo,images/blog/photo/uffc-js-2024-taipei-taiwan.jpg,"MBIS Lab members attended UFFC-JS 2024 in Taipei, Taiwan."
2024-07-25,MBIS 2024 Summer Internship,Photo,images/blog/photo/mbis-2024-summer-internship-1.jpg,MBIS Lab hosted the 2024 summer internship program.
2024-07-25,MBIS 2024 Summer Internship,Photo,images/blog/photo/mbis-2024-summer-internship-2.jpg,MBIS Lab hosted the 2024 summer internship program.
2024-05-17,KOSOMBE 2024 (Wonju),Photo,images/blog/photo/kosombe-2024-wonju.jpg,MBIS Lab members attended KOSOMBE 2024 in Wonju.
2024-02-20,Congratulations for the graduation 2024,Photo,images/blog/photo/graduation-2024.jpg,MBIS Lab celebrated the 2024 graduation.
2024-01-11,MBIS of 2024,Photo,images/blog/photo/mbis-of-2024.jpg,MBIS Lab group photo in 2024.
2023-09-15,"IUS 2023 (Montreal, Canada)",Photo,images/blog/photo/ius-2023-montreal-canada.jpg,"MBIS Lab members attended IEEE IUS 2023 in Montreal, Canada."
